nom mean     geommean std      stdgeom 
23-6-2010-pH46a_PrjData.TIF 4.5989       3.699      2.9345      1.9935
23-6-2010-pH46b_PrjData.TIF  4.776      3.8438      3.0198      1.9973
23-6-2010-pH46c_PrjData.TIF 4.5861      3.7015      2.9037      1.9823
23-6-2010-pH46d_PrjData.TIF 4.5229      3.6615      2.8632      1.9699
23-6-2010-pH46e_PrjData.TIF 4.4331      3.6045      2.7732      1.9577
23-6-2010-pH48a_PrjData.TIF  4.205      3.3411      2.8539      2.0102
23-6-2010-pH48b_PrjData.TIF 4.2691      3.4242      2.8076      1.9866
23-6-2010-pH48c_PrjData.TIF 4.3931      3.5627        2.78      1.9621
23-6-2010-pH48d_PrjData.TIF 4.4887      3.6551      2.7834      1.9562
23-6-2010-pH48e_PrjData.TIF 4.6418      3.7793      2.8589      1.9594
